Element Name;Layer;Composition;Ratio;Component Name;Application;Lifetime;Thickness
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C4;a;1;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C1;a;1;Excavation process | Soil (0.44 m³) | By machine | Without transport;Floor bed | Excavation;60;0.44
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C11;a;1;Flexible sheet | Linoleum (2.5 mm) | Glued;Floor finish | Cladding;15;0.0025
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C10;a;1;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C9;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C8;a;1;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C6;a;1;Board | Cellular glass (180 mm) | Under floor slab;Floor bed | Thermal insulation;60;0.18
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C4;a;1;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_02;C1;a;1;Excavation process | Soil (0.53 m³) | By machine | Without transport;Floor bed | Excavation;60;0.53
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C12;a;1;Parquet | Laminate (7 mm) | Loose laid;Floor finish | Cladding;15;0.007
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C11;a;1;Board | XPS (5 mm) | Upon floor slab | Loose laid;Floor finish | Acoustic insulation;60;0.005
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C10;a;1;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C9;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C8;a;1;Board | Stone wool (140 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.14
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C6;a;1;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C4;a;1;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_03;C1;a;1;Excavation process | Soil (0.5 m³) | By machine | Without transport;Floor bed | Excavation;60;0.5
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C11;a;1;Carpet tiles | Polyamide (500x500x5.8 mm) | Loose laid;Floor finish | Cladding;15;0.0058
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C10;a;1;Board | Chipboard - steel backing (31 mm);Floor finish | Support structure for elevated floor;60;0.031
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C9;a;1;Panel carrier | Steel (h = 250 mm) | Glued;Floor finish | Support structure for elevated floor;60;0.25
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C8;a;1;Cast in situ | Fibre reinforced concrete (350 mm);Floor bed | Slab;60;0.35
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C6;a;1;Board | PUR - aluminium facer (100 mm) | Under floor slab;Floor bed | Thermal insulation;60;0.1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C4;a;1;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_04;C1;a;1;Excavation process | Soil (0.79 m³) | By machine | Without transport;Floor bed | Excavation;60;0.79
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C11;a;1;Soft tiles | PVC (600x600x2.5 mm) | Glued;Floor finish | Cladding;15;0.0025
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C10;a;1;Board | Calcium sulphate (36 mm);Floor finish | Support structure for elevated floor;60;0.036
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C9;a;1;Panel carrier | Steel (h = 250 mm) | Glued;Floor finish | Support structure for elevated floor;60;0.25
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C8;a;1;Cast in situ | Fibre reinforced concrete (350 mm);Floor bed | Slab;60;0.35
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C6;a;1;Board | PUR - aluminium facer (100 mm) | Under floor slab;Floor bed | Thermal insulation;60;0.1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C4;a;1;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_05;C1;a;1;Excavation process | Soil (0.79 m³) | By machine | Without transport;Floor bed | Excavation;60;0.79
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C11;a;1;Flexible sheet | Linoleum (2.5 mm) | Glued;Floor finish | Cladding;15;0.0025
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C10;a;1;Board | Chipboard - steel backing (47.5 mm);Floor finish | Support structure for elevated floor;60;0.0475
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C9;a;1;Panel carrier | Steel (h = 250 mm) | Glued;Floor finish | Support structure for elevated floor;60;0.25
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C8;a;1;Cast in situ | Fibre reinforced concrete (350 mm);Floor bed | Slab;60;0.35
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C6;a;1;Board | PUR - aluminium facer (100 mm) | Under floor slab;Floor bed | Thermal insulation;60;0.1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C4;a;1;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_06;C1;a;1;Excavation process | Soil (0.8 m³) | By machine | Without transport;Floor bed | Excavation;60;0.8
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C13;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C12;a;1;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C11;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C10;a;1;Board | Calcium sulphate (36 mm);Floor finish | Support structure for elevated floor;60;0.036
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C9;a;1;Panel carrier | Steel (h = 250 mm) | Glued;Floor finish | Support structure for elevated floor;60;0.25
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C8;a;1;Cast in situ | Fibre reinforced concrete (350 mm);Floor bed | Slab;60;0.35
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C6;a;1;Board | PUR - aluminium facer (100 mm) | Under floor slab;Floor bed | Thermal insulation;60;0.1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C4;a;1;Loose filling | Compacted sand (0.05 m³) | By machine;Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_07;C1;a;1;Excavation process | Soil (0.84 m³) | By machine | Without transport;Floor bed | Excavation;60;0.84
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C9;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C8;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C7;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C6;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C5;a;1;Foam | PUR (130 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.13
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C4;a;1;Cast in situ | Recycled reinforced concrete (150 mm);Floor bed | Slab;60;0.15
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C3;a;1;Loose filling | Compacted sand (0.13 m³) | By machine;Floor bed | Leveling layer;60;0.13
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Recycled reinforced concrete_LIB_New_01;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C10;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C9;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C8;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C6;a;1;Foam | PUR (130 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C5;a;1;Cast in situ | Reinforced concrete (150 mm);Floor bed | Slab;60;0.15
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C4;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C3;a;1;Loose filling | Compacted sand (0.13 m³) | By machine;Floor bed | Leveling layer;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Reinforced concrete_LIB_New_01;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C10;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C9;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C8;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C6;a;1;Board | XPS (120 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.12
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C5;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C4;a;1;Cast in situ | Reinforced concrete (150 mm);Floor bed | Slab;60;0.15
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C3;a;1;Loose filling | Compacted sand (0.13 m³) | By machine;Floor bed | Leveling layer;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Reinforced concrete_LIB_New_02;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C9;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C8;a;1;Screed | Cement - EPS grains (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C7;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C6;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C5;a;1;Foam | PUR (130 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C4;a;1;Cast in situ | Reinforced concrete (150 mm);Floor bed | Slab;60;0.15
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C3;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C2;a;1;Loose filling | Compacted sand (0.13 m³) | By machine;Floor bed | Leveling layer;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_03;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C8;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C7;a;1;Screed | Anhydrite binder (45 mm);Floor finish | Support structure;60;0.045
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C6;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C5;a;1;Foam | PUR (160 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.16
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C4;a;1;Cast in situ | Reinforced concrete (150 mm);Floor bed | Slab;60;0.15
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C3;a;1;Loose filling | Compacted sand (0.13 m³) | By machine;Floor bed | Leveling layer;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Reinforced concrete_LIB_New_04;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C10;a;1;Impregnation work | Wax | On wooden parquet;Floor finish | Treatment of cladding;15;
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C9;a;1;Parquet | Hardwood (22 mm) | Glued | Untreated | Belgian mix;Floor finish | Cladding;60;0.022
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C8;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C7;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C6;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C5;a;1;Foam | PUR (130 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C4;a;1;Cast in situ | Reinforced concrete (150 mm);Floor bed | Slab;60;0.15
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C3;a;1;Loose filling | Compacted sand (0.13 m³) | By machine;Floor bed | Leveling layer;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Reinforced concrete_LIB_New_05;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C11;a;1;Impregnation work | Wax | On wooden parquet;Floor finish | Treatment of cladding;15;
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C10;a;1;Parquet | Hardwood (22 mm) | Glued | Untreated | Belgian mix;Floor finish | Cladding;60;0.022
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C9;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C8;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C6;a;1;Foam | PUR (130 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C5;a;1;Cast in situ | Reinforced concrete (150 mm);Floor bed | Slab;60;0.15
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C4;a;1;Cast in situ | Blinding concrete (50 mm);Floor bed | Leveling layer;60;0.05
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C3;a;1;Loose filling | Compacted sand (0.13 m³) | By machine;Floor bed | Leveling layer;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Reinforced concrete_LIB_New_06;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C11;a;1;Impregnation work | Wax | On wooden parquet;Floor finish | Treatment of cladding;15;
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C10;a;1;Parquet | Hardwood (22 mm) | Glued | Untreated | Belgian mix;Floor finish | Cladding;60;0.022
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C9;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C8;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C6;a;1;Board | Expanded cork (130 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.13
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C5;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Reinforced concrete_LIB_New_07;C4;a;1;Cast in situ | Reinforced concrete (150 mm);Floor bed | Slab;60;0.15
