Component Name;Application
Battens | Softwood (38x50 mm - c.t.c. 600 mm) | Screwed | Untreated | Belgian mix | For between insulation;Wall - external finish | Support structure
Blanket | Wood wool (50 mm) | For between battens | Friction fitted;Wall - external finish | Thermal insulation
Blanket | Wood wool (140 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation
Not ventilated cavity | Air layer (140 mm) | 25 ≤ t ≤ 300 mm;Internal wall - loadbearing | Air cavity
Blanket | Stone wool (45 mm) | For between timber frame | Friction fitted;Internal wall - non-loadbearing | Thermal insulation
Panel | CLT (80 mm);Internal wall - loadbearing | Primary part
Thick coating | Loam plaster (12.5 mm);Wall - internal finish | Cladding
Thick coating | Gypsum plaster (10 mm);Wall - internal finish | Cladding
Cast in situ | Recycled reinforced concrete (0.09 m³);Internal wall - loadbearing | Primary part
Cast in situ | Reinforced concrete (0.09 m³);Internal wall - loadbearing | Primary part
Blanket | Stone wool (50 mm) | For between steel frame | Friction fitted;Internal wall - non-loadbearing | Thermal insulation
Blanket | Stone wool (75 mm) | For between steel frame | Friction fitted;Party wall | Acoustic insulation
Blanket | Stone wool (75 mm) | For between steel frame | Friction fitted;Internal wall - non-loadbearing | Thermal insulation
Blanket | Stone wool (40 mm) | For cavity wall | Ties and clips to be added;Wall - external finish | Acoustic insulation
Blanket | Stone wool (120 mm) | For between timber frame | Friction fitted;Party wall | Acoustic insulation
Flakes | Cellulose (120 mm) | For between timber frame | Blown on site;Party wall | Acoustic insulation
Cast in situ | Reinforced concrete (200 mm);Flat roof | Slab
Not ventilated cavity | Air layer (225 mm) | 15 ≤ t ≤ 300 mm;Flat roof | Air cavity
Profiles | Softwood (mean 40 mm - c.t.c. 400 mm) | Nailed | Belgian mix;Roof finish | Sloping layer
Not ventilated cavity | Air layer (240 mm) | 15 ≤ t ≤ 300 mm;Flat roof | Air cavity
Not ventilated cavity | Air layer (300 mm) | 15 ≤ t ≤ 300 mm;Flat roof | Air cavity
Not ventilated cavity | Air layer (360 mm) | 15 ≤ t ≤ 300 mm;Flat roof | Air cavity
Blanket | Stone wool (75 mm) | For between rafters | Friction fitted;Pitched roof | Thermal insulation
Blanket | Stone wool (225 mm) | For between purlins | Friction fitted | Including extra nailed battens;Pitched roof | Thermal insulation
Blanket | Stone wool (360 mm) | For between TJI beams | Friction fitted;Pitched roof | Thermal insulation
Beams | Softwood (172 mm) | Nailed | Treated - uncontaminated | Belgian mix | For between insulation;Pitched roof | Dutch trusses
Not ventilated cavity | Air layer (172 mm) | 15 ≤ t ≤ 300 mm;Pitched roof | Air cavity
Beams | Softwood (197 mm) | Nailed | Treated - uncontaminated | Belgian mix | For between insulation;Pitched roof | Dutch trusses
Blanket | Wood wool (190 mm) | For between Dutch trusses | Friction fitted;Pitched roof | Thermal insulation
Blanket | Wood wool (75 mm) | For between rafters | Friction fitted;Pitched roof | Thermal insulation
Board | Bituminised wood fibre (18 mm) | Nailed | For ceramic tiles, concrete tiles and natural slates;Roof finish | Sub-roof
Blanket | Glass wool (75 mm) | For between rafters | Friction fitted;Pitched roof | Thermal insulation
Blanket | Glass wool (225 mm) | For between rafters | Friction fitted;Pitched roof | Thermal insulation
Flakes | Cellulose (75 mm) | For between rafters | Blown on site;Pitched roof | Thermal insulation
Flakes | Cellulose (225 mm) | For between rafters | Blown on site;Pitched roof | Thermal insulation
Blanket | Glass wool (160 mm) | For between TJI beams | Friction fitted;Pitched roof | Thermal insulation
Blanket | Sheep wool (160 mm) | For between TJI beams | Friction fitted;Pitched roof | Thermal insulation
Blanket | Wood wool (200 mm) | For between TJI beams | Friction fitted;Pitched roof | Thermal insulation
Board | Hemp (160 mm) | For between TJI beams | Friction fitted;Pitched roof | Thermal insulation
Cast in situ | Concrete (0.2 m³);Ground surface treatment | Surfacing
Cast in situ | Crushed limestone - cement binder (0.2 m³) | Type IA;Ground surface treatment | Base
Loose filling | Crushed limestone (0.2 m³) | Type II;Ground surface treatment | Base
Excavation process | Soil (0.6 m³) | By machine | Without transport;Floor bed | Excavation
Loose filling | Stabilised sand (0.15 m³);Ground surface treatment | Bedding layer
Loose filling | Crushed concrete (0.25 m³) | Type I;Ground surface treatment | Base
Excavation process | Soil (0.48 m³) | By machine | Without transport;Floor bed | Excavation
Loose filling | Gravel (0.15 m³);Ground surface treatment | Base
Excavation process | Soil (0.2 m³) | By machine | Without transport;Floor bed | Excavation
Loose filling | Crushed limestone (0.05 m³);Ground surface treatment | Base
Loose filling | Crushed limestone (0.25 m³) | Type I;Ground surface treatment | Subbase
Excavation process | Soil (0.35 m³) | By machine | Without transport;Floor bed | Excavation
Cast in situ | Crushed limestone - cement binder (0.2 m³) | Type IIA;Ground surface treatment | Base
Loose filling | Crushed limestone (0.03 m³);Ground surface treatment | Base
Excavation process | Soil (0.34 m³) | By machine | Without transport;Floor bed | Excavation
Loose filling | Sand (0.03 m³);Ground surface treatment | Bedding layer
Loose filling | Crushed limestone (0.15 m³) | Type I;Ground surface treatment | Subbase
Excavation process | Soil (0.25 m³) | By machine | Without transport;Floor bed | Excavation
Cast in situ | Cement (0.03 m³);Ground surface treatment | Bedding layer
Cast in situ | Crushed concrete - cement binder (0.25 m³) | Type IA;Ground surface treatment | Base
Excavation process | Soil (0.33 m³) | By machine | Without transport;Floor bed | Excavation
Loose filling | Crushed limestone (0.4 m³) | Type I;Ground surface treatment | Subbase
Loose filling | Stabilised sand (0.03 m³);Ground surface treatment | Bedding layer
Loose filling | Crushed limestone (0.2 m³) | Type I;Ground surface treatment | Subbase
Excavation process | Soil (0.27 m³) | By machine | Without transport;Floor bed | Excavation
Cast in situ | Cement (0.02 m³);Ground surface treatment | Bedding layer
Loose filling | Stabilised sand (0.2 m³);Ground surface treatment | Base
Excavation process | Soil (0.26 m³) | By machine | Without transport;Floor bed | Excavation
Loose filling | Crushed concrete (0.3 m³) | Type I;Ground surface treatment | Base
Loose filling | Crushed concrete (0.2 m³) | Type II;Ground surface treatment | Base
Excavation process | Soil (0.59 m³) | By machine | Without transport;Floor bed | Excavation
Cast in situ | Poor concrete (0.1 m³);Ground surface treatment | Base
Excavation process | Soil (0.17 m³) | By machine | Without transport;Floor bed | Excavation
Cast in situ | Poor concrete (0.25 m³);Ground surface treatment | Base
Excavation process | Soil (0.38 m³) | By machine | Without transport;Floor bed | Excavation
